Stock,Stock,Transaction,Politician,Filed,Traded,Description
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Purchase
$100,001 - $250,000","Patrick Fallon
House / R","Jul. 02, 2021","May. 27, 2021",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$1,001 - $15,000","Patrick Fallon
House / R","Jul. 02, 2021","May. 27, 2021",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Purchase
$1,001 - $15,000","Dwight Evans
House / D","Jul. 09, 2021","May. 26, 2021",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$15,001 - $50,000","Thomas Suozzi
House / D","Sep. 23, 2021","May. 20, 2021",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$100,001 - $250,000","Victoria Spartz
House / R","Jun. 20, 2021","May. 18, 2021",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Purchase
$15,001 - $50,000","Thomas Suozzi
House / D","Sep. 23, 2021","Mar. 04, 2021",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$100,001 - $250,000","Victoria Spartz
House / R","Feb. 20, 2021","Feb. 04, 2021",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Purchase
$15,001 - $50,000","K. Michael Conaway
House / R","Dec. 15, 2020","Nov. 30, 2020",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$15,001 - $50,000","Susan A. Davis
House / D","Oct. 29, 2020","Sep. 29, 2020",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Purchase
$1,001 - $15,000","John A. Yarmuth
House / D","Nov. 15, 2020","Sep. 08, 2020",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$1,001 - $15,000","Kathy Castor
House / D","Jul. 16, 2020","Jul. 14, 2020",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$1,001 - $15,000","Kathy Castor
House / D","Jul. 16, 2020","Jul. 10, 2020",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Purchase
$1,001 - $15,000","Kathy Castor
House / D","May. 20, 2020","May. 19, 2020",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Purchase
$1,001 - $15,000","Kathy Castor
House / D","May. 20, 2020","May. 19, 2020",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$1,001 - $15,000","Dean Phillips
House / D","May. 07, 2020","Apr. 17, 2020",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$1,001 - $15,000","Dean Phillips
House / D","May. 07, 2020","Apr. 16, 2020",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$15,001 - $50,000","Gilbert Cisneros
House / D","Apr. 16, 2020","Apr. 02, 2020",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Purchase
$1,001 - $15,000","Daniel Crenshaw
House / R","Mar. 24, 2021","Mar. 26, 2020",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Purchase
$1,001 - $15,000","James R. Langevin
House / D","May. 05, 2020","Mar. 25, 2020",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$15,001 - $50,000","K. Michael Conaway
House / R","Apr. 06, 2020","Mar. 18, 2020",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$15,001 - $50,000","K. Michael Conaway
House / R","Apr. 06, 2020","Mar. 18, 2020",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Purchase
$1,001 - $15,000","Dean Phillips
House / D","Mar. 12, 2020","Feb. 24, 2020",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$1,001 - $15,000","Dean Phillips
House / D","Mar. 12, 2020","Feb. 10, 2020",-
